,director,title,release_date,budget,revenue,return
51,David Fincher,Se7en,1995-09-22,33000000.0,327311859.0,9.91854118181818
52,Mike Gabriel,Pocahontas,1995-06-14,55000000.0,346079773.0,6.292359509090909
53,Eric Goldberg,Pocahontas,1995-06-14,55000000.0,346079773.0,6.292359509090909
54,Patricia Rozema,When Night Is Falling,1995-05-05,0.0,0.0,0.0
55,Bryan Singer,The Usual Suspects,1995-07-19,6000000.0,23341568.0,3.890261333333333
56,Richard W. Munchkin,Guardian Angel,1994-11-22,0.0,0.0,0.0
57,Woody Allen,Mighty Aphrodite,1995-09-13,15000000.0,6700000.0,0.4466666666666666
58,Gianni Amelio,Lamerica,1994-01-01,0.0,0.0,0.0
59,Holly Goldberg Sloan,The Big Green,1995-09-29,0.0,0.0,0.0
60,Ulu Grosbard,Georgia,1995-05-19,0.0,0.0,0.0
61,Robert Tinnell,Kids of the Round Table,1997-07-08,0.0,0.0,0.0
62,Jodie Foster,Home for the Holidays,1995-11-02,0.0,17519169.0,0.0
63,Michael Radford,The Postman,1994-09-22,0.0,0.0,0.0
64,Robert Lepage,The Confessional,1995-09-29,0.0,0.0,0.0
65,Frank Oz,The Indian in the Cupboard,1995-07-14,45000000.0,0.0,0.0
66,John Schlesinger,Eye for an Eye,1996-01-12,20000000.0,0.0,0.0
67,Stephen Herek,Mr. Holland's Opus,1995-12-29,0.0,106269971.0,0.0
68,Paris Barclay,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,0.0,0.0,0.0
69,Bill Bennett,Two If by Sea,1996-01-12,0.0,0.0,0.0
70,Jason Bloom,Bio-Dome,1996-01-12,15000000.0,0.0,0.0
71,Farhad Mann,Lawnmower Man 2: Beyond Cyberspace,1996-01-12,0.0,2409225.0,0.0
72,James Foley,Two Bits,1995-10-22,0.0,0.0,0.0
73,Josiane Balasko,French Twist,1995-02-08,0.0,0.0,0.0
74,F. Gary Gray,Friday,1995-04-26,3500000.0,28215918.0,8.061690857142857
75,Robert Rodriguez,From Dusk Till Dawn,1996-01-19,19000000.0,25836616.0,1.359821894736842
76,Andrew Sipes,Fair Game,1995-11-03,50000000.0,11534477.0,0.23068954
77,Noah Baumbach,Kicking and Screaming,1995-10-06,0.0,718490.0,0.0
78,Claude Lelouch,Les Miserables,1995-03-22,0.0,0.0,0.0
79,Michael Goldenberg,Bed of Roses,1996-01-26,0.0,19030691.0,0.0
80,Steve Miner,Big Bully,1996-01-26,15000000.0,2042530.0,0.1361686666666666
81,Christian Duguay,Screamers,1995-09-08,20000000.0,5781885.0,0.28909425
82,Susanne Ofteringer,Nico Icon,1995-02-18,0.0,0.0,0.0
83,Sean Penn,The Crossing Guard,1995-11-15,0.0,0.0,0.0
84,Brian Gibson,The Juror,1996-02-02,44000000.0,0.0,0.0
85,Jafar Panahi,The White Balloon,1995-01-01,0.0,0.0,0.0
86,Gary Fleder,Things to Do in Denver When You're Dead,1995-12-01,8000000.0,529766.0,0.06622075
87,Marleen Gorris,Antonia's Line,1995-09-12,900000.0,0.0,0.0
88,Tim Reid,Once Upon a Time... When We Were Colored,1996-01-26,0.0,0.0,0.0
89,Henry Jaglom,Last Summer in the Hamptons,1995-11-22,0.0,0.0,0.0
90,Philip Haas,Angels and Insects,1995-09-10,0.0,0.0,0.0
91,Ridley Scott,White Squall,1996-02-02,38000000.0,10300000.0,0.2710526315789474
92,Ken Kwapis,Dunston Checks In,1996-01-12,16000000.0,0.0,0.0
93,Penelope Spheeris,Black Sheep,1996-02-01,0.0,32.0,0.0
94,John Badham,Nick of Time,1995-11-22,8169363.0,8175346.0,1.000732370443081
95,John Duigan,The Journey of August King,1995-09-14,0.0,0.0,0.0
96,Stephen Frears,Mary Reilly,1996-02-23,47000000.0,12379402.0,0.2633915319148936
97,Wes Craven,Vampire in Brooklyn,1995-10-26,14000000.0,19800000.0,1.4142857142857144
98,Ted Demme,Beautiful Girls,1996-02-09,0.0,0.0,0.0
99,John Woo,Broken Arrow,1996-02-09,50000000.0,150270147.0,3.00540294
100,Kenneth Branagh,A Midwinter's Tale,1995-12-01,0.0,0.0,0.0
101,Mathieu Kassovitz,La Haine,1995-05-31,3000000.0,0.0,0.0
102,Paul W.S. Anderson,Shopping,1994-12-06,0.0,0.0,0.0
103,Nick Broomfield,Heidi Fleiss: Hollywood Madam,1995-12-27,0.0,0.0,0.0
104,Harold Becker,City Hall,1996-02-16,0.0,0.0,0.0
105,Wes Anderson,Bottle Rocket,1996-02-21,7000000.0,560069.0,0.0800098571428571
106,Nick Castle,Mr. Wrong,1996-02-16,0.0,0.0,0.0
107,John Dahl,Unforgettable,1996-02-23,18000000.0,0.0,0.0
108,Dennis Dugan,Happy Gilmore,1996-02-16,12000000.0,41205099.0,3.43375825
109,Clint Eastwood,The Bridges of Madison County,1995-05-28,24000000.0,182016617.0,7.584025708333333
110,Doris Dörrie,Nobody Loves Me,1994-11-07,0.0,0.0,0.0
111,Brian Henson,Muppet Treasure Island,1996-02-16,0.0,34327391.0,0.0
112,Robert Leacock,Catwalk,1995-12-08,0.0,0.0,0.0
113,James Bruce,Headless Body in Topless Bar,1995-05-20,0.0,0.0,0.0
114,Mel Gibson,Braveheart,1995-05-24,72000000.0,210000000.0,2.9166666666666665
115,Martin Scorsese,Taxi Driver,1976-02-07,1300000.0,28262574.0,21.74044153846154
116,Stanley Tong,Rumble in the Bronx,1995-01-30,7500000.0,32392047.0,4.3189396
117,Barbet Schroeder,Before and After,1996-02-23,35000000.0,0.0,0.0
118,Mort Ransen,Margaret's Museum,1995-09-13,0.0,0.0,0.0
119,Étienne Chatiliez,Happiness Is in the Field,1995-01-31,13365000.0,0.0,0.0
120,Jon Blair,Anne Frank Remembered,1995-06-08,0.0,1.0,0.0
121,Benjamin Ross,The Young Poisoner's Handbook,1995-01-20,0.0,0.0,0.0
122,Eric Schaeffer,If Lucy Fell,1996-03-08,0.0,0.0,0.0
123,Andrew Davis,Steal Big Steal Little,1995-09-29,25000000.0,6278139.0,0.25112556
124,Charles T. Kanganis,Race the Sun,1996-03-22,0.0,0.0,0.0
125,John N. Smith,The Boys of St. Vincent,1992-12-06,0.0,0.0,0.0
126,Reginald Hudlin,Boomerang,1992-06-30,40000000.0,70100000.0,1.7525
127,Wong Kar-wai,Chungking Express,1994-07-14,0.0,0.0,0.0
128,Giuseppe Tornatore,The Star Maker,1995-09-21,0.0,0.0,0.0
129,David O. Russell,Flirting with Disaster,1996-03-22,7000000.0,14702438.0,2.100348285714286
130,Peter MacDonald,The Neverending Story III: Escape from Fantasia,1994-10-26,17000000.0,0.0,0.0
131,Moufida Tlatli,The Silences of the Palace,1994-09-30,0.0,0.0,0.0
132,Michel Negroponte,Jupiter's Wife,1995-01-01,0.0,0.0,0.0
133,Bryan Gordon,Pie in the Sky,1996-02-09,0.0,0.0,0.0
134,Rebecca Miller,Angela,1995-01-01,0.0,0.0,0.0
135,Michael Lindsay-Hogg,Frankie Starlight,1995-11-22,0.0,0.0,0.0
136,William Friedkin,Jade,1995-10-13,50000000.0,9851610.0,0.1970322
137,Ángel Muñiz,Nueba Yol,1995-08-16,0.0,0.0,0.0
138,Craig Baldwin,Sonic Outlaws,1995-08-01,0.0,0.0,0.0
139,David S. Ward,Down Periscope,1996-03-01,0.0,0.0,0.0
140,Mark Rappaport,From the Journals of Jean Seberg,1995-09-08,0.0,0.0,0.0
141,Dirk Shafer,Man of the Year,1995-09-15,0.0,209935.0,0.0
142,Terence Davies,The Neon Bible,1995-08-23,0.0,0.0,0.0
143,Sandip Ray,Target,1995-08-01,0.0,0.0,0.0
144,Jon Avnet,Up Close & Personal,1996-03-01,60000000.0,0.0,0.0
145,Mike Nichols,The Birdcage,1996-03-08,31000000.0,185260553.0,5.976146870967742
146,Jakov Sedlar,Virgin Mary,1995-10-12,0.0,0.0,0.0
147,Edward Burns,The Brothers McMullen,1995-08-09,0.0,0.0,0.0
148,Michael Bay,Bad Boys,1995-04-07,19000000.0,141407024.0,7.442474947368421
149,Christopher Cain,The Amazing Panda Adventure,1995-08-25,0.0,0.0,0.0
150,Scott Kalvert,The Basketball Diaries,1995-04-21,0.0,0.0,0.0
151,Mike Newell,An Awfully Big Adventure,1995-07-21,4000000.0,851545.0,0.21288625
152,Hal Hartley,Amateur,1994-08-05,0.0,0.0,0.0
153,Ron Howard,Apollo 13,1995-06-30,52000000.0,355237933.0,6.831498711538462
154,Michael Caton-Jones,Rob Roy,1995-04-13,28000000.0,31596911.0,1.1284611071428572
155,Abel Ferrara,The Addiction,1995-01-10,0.0,0.0,0.0
156,Joel Schumacher,Batman Forever,1995-06-16,100000000.0,336529144.0,3.36529144
157,Luis Buñuel,Belle de Jour,1967-05-24,0.0,0.0,0.0
158,John Boorman,Beyond Rangoon,1995-05-24,0.0,0.0,0.0
159,Paul Auster,Blue in the Face,1995-09-15,2000000.0,1275000.0,0.6375
160,Wayne Wang,Blue in the Face,1995-09-15,2000000.0,1275000.0,0.6375
161,Michael Moore,Canadian Bacon,1995-06-08,11000000.0,178104.0,0.0161912727272727
162,Brad Silberling,Casper,1995-05-26,50000000.0,287928194.0,5.75856388
163,Spike Lee,Clockers,1995-09-15,25000000.0,13071518.0,0.52286072
164,Frank Marshall,Congo,1995-06-09,50000000.0,152022101.0,3.04044202
165,Tony Scott,Crimson Tide,1995-05-12,53000000.0,157387195.0,2.969569716981132
166,Terry Zwigoff,Crumb,1994-09-10,0.0,3174695.0,0.0
167,Robert Rodriguez,Desperado,1995-08-25,7000000.0,25405445.0,3.6293492857142855
168,Carl Franklin,Devil in a Blue Dress,1995-09-15,27000000.0,16140822.0,0.5978082222222222
169,John McTiernan,Die Hard: With a Vengeance,1995-05-19,90000000.0,366101666.0,4.067796288888889
170,Gregg Araki,The Doom Generation,1995-10-27,0.0,0.0,0.0
171,Christopher Menaul,Feast of July,1995-10-12,0.0,0.0,0.0
172,Jerry Zucker,First Knight,1995-07-07,55000000.0,127600435.0,2.320007909090909
173,Dwight H. Little,Free Willy 2 - The Adventure Home,1995-07-19,0.0,0.0,0.0
174,Iain Softley,Hackers,1995-09-14,20000000.0,7563728.0,0.3781864
175,Christopher Ashley,Jeffrey,1995-08-18,0.0,0.0,0.0
176,Robert Longo,Johnny Mnemonic,1995-05-26,25000000.0,19075720.0,0.7630288
177,Danny Cannon,Judge Dredd,1995-06-30,90000000.0,113493481.0,1.2610386777777778
178,John Fortenberry,Jury Duty,1995-04-12,0.0,17014653.0,0.0
179,Larry Clark,Kids,1995-07-28,1500000.0,7412216.0,4.941477333333333
180,Tom DiCillo,Living in Oblivion,1995-01-20,500000.0,1148752.0,2.297504
181,Clive Barker,Lord of Illusions,1995-08-25,0.0,0.0,0.0
182,Denys Arcand,Love & Human Remains,1993-05-20,0.0,0.0,0.0
183,Antonia Bird,Mad Love,1995-05-26,0.0,15453274.0,0.0
184,Kevin Smith,Mallrats,1995-10-20,6000000.0,2122561.0,0.3537601666666666
185,Bryan Spicer,Mighty Morphin Power Rangers: The Movie,1995-06-30,15000000.0,66000000.0,4.4
186,David Anspaugh,Moonlight and Valentino,1995-09-29,0.0,0.0,0.0
187,Anthony Waller,Mute Witness,1995-09-28,2.0,1.0,0.5
188,Michael Almereyda,Nadja,1994-09-13,0.0,0.0,0.0
189,Irwin Winkler,The Net,1995-07-28,22000000.0,110627965.0,5.028543863636363
190,Chris Columbus,Nine Months,1995-07-12,0.0,69660733.0,0.0
191,Daisy von Scherler Mayer,Party Girl,1995-06-09,150000.0,472370.0,3.1491333333333333
192,Gregory Widen,The Prophecy,1995-09-01,8.0,16.0,2.0
193,Norman René,Reckless,1995-11-17,0.0,0.0,0.0
194,Todd Haynes,Safe,1995-06-23,0.0,0.0,0.0
195,Roland Joffé,The Scarlet Letter,1995-10-13,50000000.0,10382407.0,0.20764814
196,Paul Verhoeven,Showgirls,1995-09-22,45000000.0,20350754.0,0.4522389777777778
197,Wayne Wang,Smoke,1995-06-09,7000000.0,8349430.0,1.1927757142857145
198,Paul Auster,Smoke,1995-06-09,7000000.0,8349430.0,1.1927757142857145
199,Lasse Hallström,Something to Talk About,1995-08-04,0.0,50892160.0,0.0
200,Roger Donaldson,Species,1995-07-07,35000000.0,113374103.0,3.2392600857142857
201,James Keach,The Stars Fell on Henrietta,1995-09-15,0.0,0.0,0.0
202,Kathryn Bigelow,Strange Days,1995-10-13,42000000.0,7959291.0,0.1895069285714285
203,Jacques Demy,The Umbrellas of Cherbourg,1964-02-19,0.0,0.0,0.0
204,Wesley Strick,The Tie That Binds,1995-09-08,14000000.0,5780000.0,0.4128571428571428
205,Martha Coolidge,Three Wishes,1995-10-27,0.0,7025496.0,0.0
206,Agnieszka Holland,Total Eclipse,1995-11-02,0.0,339889.0,0.0
207,Beeban Kidron,"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-07,0.0,47774193.0,0.0
208,Geoff Murphy,Under Siege 2: Dark Territory,1995-07-13,60000000.0,104324083.0,1.738734716666667
209,Diane Keaton,Unstrung Heroes,1995-09-15,0.0,0.0,0.0
210,Douglas Keeve,Unzipped,1995-08-11,0.0,0.0,0.0
211,Alfonso Aráu,A Walk in the Clouds,1995-08-11,20000000.0,50012507.0,2.50062535
212,Kevin Reynolds,Waterworld,1995-07-28,175000000.0,264218220.0,1.5098184
213,Desmond Nakano,White Man's Burden,1995-12-01,8000000.0,0.0,0.0
214,Walter Hill,Wild Bill,1995-12-01,30000000.0,0.0,0.0
215,Mike Figgis,The Browning Version,1994-10-12,0.0,0.0,0.0
216,Greg Beeman,Bushwhacked,1995-08-04,0.0,0.0,0.0
217,Nikita Mikhalkov,Burnt by the Sun,1994-05-01,2800000.0,2616503.0,0.9344653571428572
218,Milčo Mančevski,Before the Rain,1994-06-09,0.0,763847.0,0.0
219,Richard Linklater,Before Sunrise,1995-01-27,2500000.0,5535405.0,2.214162
220,Tamra Davis,Billy Madison,1995-02-10,10000000.0,26488734.0,2.6488734
221,Guy Ferland,The Babysitter,1995-10-17,0.0,0.0,0.0
222,Herbert Ross,Boys on the Side,1995-02-03,21000000.0,23450000.0,1.1166666666666667
223,Peter Horton,The Cure,1995-04-21,0.0,0.0,0.0
224,Stuart Gordon,Castle Freak,1995-08-04,0.0,0.0,0.0
225,Pat O'Connor,Circle of Friends,1995-03-16,0.0,0.0,0.0
226,Kevin Smith,Clerks,1994-09-13,27000.0,3151130.0,116.70851851851852
227,Jeremy Leven,Don Juan DeMarco,1994-10-01,25000000.0,22200000.0,0.888
228,Barry Levinson,Disclosure,1994-12-09,55000000.0,214015089.0,3.891183436363636
229,René Bonnière,Dream Man,1995-01-01,0.0,0.0,0.0
230,John Badham,Drop Zone,1994-12-08,45000000.0,0.0,0.0
231,Jack Baran,Destiny Turns on the Radio,1995-04-28,0.0,0.0,0.0
232,Roman Polanski,Death and the Maiden,1994-05-04,0.0,0.0,0.0
233,Taylor Hackford,Dolores Claiborne,1995-03-24,0.0,0.0,0.0
234,Peter Farrelly,Dumb and Dumber,1994-12-16,16000000.0,247275374.0,15.454710875
235,Bobby Farrelly,Dumb and Dumber,1994-12-16,16000000.0,247275374.0,15.454710875
236,Ang Lee,Eat Drink Man Woman,1994-08-03,0.0,7294403.0,0.0
237,Atom Egoyan,Exotica,1994-09-24,0.0,0.0,0.0
238,Garry Marshall,Exit to Eden,1994-10-14,0.0,6841570.0,0.0
239,Tim Burton,Ed Wood,1994-09-27,18000000.0,5887457.0,0.3270809444444444
240,Lawrence Kasdan,French Kiss,1995-05-05,0.0,0.0,0.0
241,Billy Crystal,Forget Paris,1995-05-19,0.0,0.0,0.0
242,Phillip Borsos,Far from Home: The Adventures of Yellow Dog,1995-01-13,0.0,0.0,0.0
243,Kevin Lima,A Goofy Movie,1995-04-07,0.0,35348597.0,0.0
244,Paul Brizzi,A Goofy Movie,1995-04-07,0.0,35348597.0,0.0
245,Brett Leonard,Hideaway,1995-03-03,15000000.0,12201255.0,0.813417
246,Carlo Carlei,Fluke,1995-06-02,0.0,0.0,0.0
247,Gérard Corbiau,Farinelli,1994-12-07,0.0,0.0,0.0
248,Mark Lewis,Gordy,1995-05-12,0.0,3992809.0,0.0
249,Art Clokey,Gumby: The Movie,1995-12-01,0.0,0.0,0.0
250,Charles Burnett,The Glass Shield,1994-09-16,0.0,0.0,0.0
251,Steve James,Hoop Dreams,1994-09-12,700000.0,7830611.0,11.186587142857142
252,Peter Jackson,Heavenly Creatures,1994-09-02,5000000.0,3049135.0,0.609827
253,Randall Miller,Houseguest,1995-01-06,10500000.0,26325256.0,2.507167238095238
254,Bernard Rose,Immortal Beloved,1994-12-16,120.0,0.0,0.0
255,Steven Brill,Heavyweights,1995-02-17,0.0,17689177.0,0.0
256,J. F. Lawton,The Hunted,1995-02-24,0.0,0.0,0.0
257,Fred Schepisi,I.Q.,1994-12-24,25000000.0,0.0,0.0
258,Neil Jordan,Interview with the Vampire,1994-11-11,60000000.0,223664608.0,3.7277434666666656
259,James Ivory,Jefferson in Paris,1995-03-31,14000000.0,2474000.0,0.1767142857142857
260,James Melkonian,The Jerky Boys,1995-02-03,0.0,0.0,0.0
261,Ivan Reitman,Junior,1994-11-22,60000000.0,37000000.0,0.6166666666666667
262,Arne Glimcher,Just Cause,1995-02-17,0.0,0.0,0.0
263,Michael Gottlieb,A Kid in King Arthur's Court,1995-08-11,0.0,0.0,0.0
264,Barbet Schroeder,Kiss of Death,1995-04-21,40000000.0,0.0,0.0
265,George Lucas,Star Wars,1977-05-25,11000000.0,775398007.0,70.49072790909091
266,Gillian Armstrong,Little Women,1994-12-21,18000000.0,0.0,0.0
267,Alfonso Cuarón,A Little Princess,1995-05-10,17000000.0,0.0,0.0
268,Ken Loach,Ladybird Ladybird,1994-02-18,0.0,0.0,0.0
269,Claude Chabrol,L'Enfer,1994-02-16,10000000.0,0.0,0.0
270,Alfonso Aráu,Like Water for Chocolate,1992-04-16,2000000.0,21665468.0,10.832734
271,Edward Zwick,Legends of the Fall,1994-12-16,30000000.0,160638883.0,5.354629433333334
272,Nick Castle,Major Payne,1995-03-24,0.0,0.0,0.0
273,James Gray,Little Odessa,1994-10-27,0.0,0.0,0.0
274,Allison Anders,Mi Vida Loca,1994-06-08,0.0,0.0,0.0
275,Glenn Gordon Caron,Love Affair,1994-10-21,60000000.0,0.0,0.0
276,Stephen Gyllenhaal,Losing Isaiah,1995-03-17,17000000.0,7603766.0,0.4472803529411764
277,Nicholas Hytner,The Madness of King George,1994-12-28,0.0,0.0,0.0
278,Kenneth Branagh,Mary Shelley's Frankenstein,1994-11-04,45000000.0,112006296.0,2.4890288
279,James Orr,Man of the House,1995-03-03,0.0,0.0,0.0
280,Nora Ephron,Mixed Nuts,1994-12-21,15000000.0,0.0,0.0
281,Richard Benjamin,Milk Money,1994-08-31,0.0,18137661.0,0.0
282,Les Mayfield,Miracle on 34th Street,1994-11-18,0.0,46264384.0,0.0
283,David Frankel,Miami Rhapsody,1995-01-27,6.0,5.0,0.8333333333333334
284,Gregory Nava,My Family,1995-05-03,5500000.0,0.0,0.0
285,Marc Rocco,Murder in the First,1995-01-20,0.0,17381942.0,0.0
286,Robert Benton,Nobody's Fool,1994-12-23,0.0,0.0,0.0
287,Michael Apted,Nell,1994-12-23,31000000.0,106683817.0,3.441413451612904
288,Nick Gomez,New Jersey Drive,1995-04-19,0.0,0.0,0.0
289,Tōru Murakawa,New York Cop,1993-08-14,0.0,0.0,0.0
290,Vadim Jean,Beyond Bedlam,1994-04-22,4800000.0,0.0,0.0
291,Albert Pyun,Nemesis 2 - Nebula,1995-09-26,0.0,0.0,0.0
292,Alan Jacobs,Nina Takes a Lover,1995-03-03,0.0,0.0,0.0
293,Oliver Stone,Natural Born Killers,1994-08-25,34000000.0,50282766.0,1.4789048823529412
294,Norman Jewison,Only You,1994-09-17,0.0,0.0,0.0
295,Lee Tamahori,Once Were Warriors,1994-09-02,0.0,2201126.0,0.0
296,Anne Goursaud,Poison Ivy II: Lily,1996-01-16,0.0,0.0,0.0
297,Wolfgang Petersen,Outbreak,1995-03-10,50000000.0,189859560.0,3.7971912
298,Luc Besson,Leon: The Professional,1994-09-14,16000000.0,45284974.0,2.830310875
299,Mira Nair,The Perez Family,1995-05-12,11000000.0,2832826.0,0.2575296363636363
300,Joshua Brand,A Pyromaniac's Love Story,1995-04-28,0.0,0.0,0.0
301,Quentin Tarantino,Pulp Fiction,1994-09-10,8000000.0,213928762.0,26.74109525
302,Mario Van Peebles,Panther,1995-11-10,0.0,6834525.0,0.0
303,Ang Lee,Pushing Hands,1992-02-01,400000.0,152322.0,0.380805
304,Antonia Bird,Priest,1994-01-01,0.0,4176932.0,0.0
305,Robert Redford,Quiz Show,1994-09-16,0.0,0.0,0.0
306,Kayo Hatta,Picture Bride,1995-05-05,0.0,0.0,0.0
307,Patrice Chéreau,Queen Margot,1994-05-13,0.0,0.0,0.0
308,Sam Raimi,The Quick and the Dead,1995-02-09,32000000.0,18552460.0,0.579764375
309,Peter Yates,Roommates,1995-03-01,22000000.0,12400000.0,0.5636363636363636
310,Robert Altman,Prêt-à-Porter,1994-12-23,15000000.0,11300653.0,0.7533768666666667
311,Krzysztof Kieślowski,Three Colors: Red,1994-05-27,0.0,0.0,0.0
312,Krzysztof Kieślowski,Three Colors: Blue,1993-01-10,0.0,0.0,0.0
313,Krzysztof Kieślowski,Three Colors: White,1994-01-26,0.0,0.0,0.0
314,He Ping,"Red Firecracker, Green Firecracker",1994-10-14,0.0,0.0,0.0
315,Fred Gerber,Rent-a-Kid,1995-01-01,0.0,0.0,0.0
316,George Mihalka,Relative Fear,1995-10-03,0.0,0.0,0.0
317,Harold Ramis,Stuart Saves His Family,1995-04-12,0.0,0.0,0.0
318,Richard Rich,The Swan Princess,1994-11-18,35000000.0,9771658.0,0.2791902285714285
319,John Sayles,The Secret of Roan Inish,1994-01-01,0.0,0.0,0.0
320,Luis Llosa,The Specialist,1994-10-07,45000000.0,170362582.0,3.785835155555556
321,Roland Emmerich,Stargate,1994-10-27,55000000.0,196567262.0,3.5739502181818184
322,John Pasquin,The Santa Clause,1994-11-10,22000000.0,189833357.0,8.628788954545454
323,Frank Darabont,The Shawshank Redemption,1994-09-23,25000000.0,28341469.0,1.13365876
324,Danny Boyle,Shallow Grave,1994-12-22,0.0,0.0,0.0
325,Scott McGehee,Suture,1993-09-14,0.0,102780.0,0.0
326,David Siegel,Suture,1993-09-14,0.0,102780.0,0.0
327,Tomás Gutiérrez Alea,Strawberry and Chocolate,1993-01-01,0.0,0.0,0.0
328,Juan Carlos Tabío,Strawberry and Chocolate,1993-01-01,0.0,0.0,0.0
329,George Huang,Swimming with Sharks,1994-09-10,0.0,0.0,0.0
330,Kevin Dowling,The Sum of Us,1994-07-12,32.0,0.0,0.0
331,Geoff Burton,The Sum of Us,1994-07-12,32.0,0.0,0.0
332,Kelly Makin,Senior Trip,1995-09-08,0.0,0.0,0.0
333,Zhang Yimou,To Live,1994-06-30,0.0,0.0,0.0
334,Rachel Talalay,Tank Girl,1995-03-31,25000000.0,4064495.0,0.1625798
335,Ernest R. Dickerson,Tales from the Crypt: Demon Knight,1995-01-13,0.0,0.0,0.0
336,David Carson,Star Trek: Generations,1994-11-17,38000000.0,120000000.0,3.1578947368421053
337,Rusty Cundieff,Tales from the Hood,1995-05-24,6000000.0,12000000.0,2.0
338,Brian Gilbert,Tom & Viv,1994-04-15,0.0,0.0,0.0
339,John Carpenter,Village of the Damned,1995-04-28,0.0,0.0,0.0
340,Peter Segal,Tommy Boy,1995-03-31,0.0,32648673.0,0.0
